original,adversarial_light,adversarial_medium,adversarial_heavy,target
What to think no one saying clearly. Ok leave no need to ask her. I will go if she come or not,What to think no one saying clearly. Ok leave no need to ask her. I will go if she come or not,What to think no one saying clearly. Ok leave no need to ask her. I will go if she come or not,What to think no one saying clearly. Ok leave no need to ask her. I will go if she come or not,ham
"FREE RING TONE just text \POLYS\"" to 87131. Then every week get a new tone. 0870737910216yrs only 1.50/wk.""","FREE RING TONE just text \POLYS\"" to 87131. Then every week g3t a new tone. 0870737910216yrs only 1.50/wk.""","FREE RING TONE just text \POLYS\"" to 87131. Then every week get discussion a new tone. 0870737910216yrs only 1.50/wk.""","FREE RIGN ✅ lcient TONE ujst etxt \POLYS\"" to 87131. team Then every week gte detalis @ enw tone. 0870737901216yrs only 1.50/kw."" 🎯 note",spam
"Trust me. Even if isn't there, its there.","Trust me. Even if isn't there, its there.","Trust me. Even if isn't there, its there.","Trust me. Even if isn't there, its there.",ham
Hi dear we saw dear. We both are happy. Where you my battery is low,Hi dear we saw dear. We both are happy. Where you my battery is low,Hi dear we saw dear. We both are happy. Where you my battery is low,Hi dear we saw dear. We both are happy. Where you my battery is low,ham
"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU","URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS plan YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO schedule HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU","URGENT, 1MP0RT@NT INFORMATION F0R O2 USER. TODAY 1$ YOUR LUCKY D@Y! schedule 2 FIND 0UT WHY 10G ONTO HTTP://WWW.URAWINNER.COM TH3R3 business IS A FANTASTIC SURPRISE @w@1t1Ng FOR Y0U","URGNE,TI MPORTANT INFORAMTIO FNOR O2 U$3.R TODAY IS YOUR LUKCY DAY! 2 💰 FIND OUTW HY LOG 📈 0NT0 HTTP://WWW.UR@1WNN3R.C0M review THERE 1$ @ FANTASTCI 🔥 $.U..RP.R1..$.3 WAAIITNG FOR scehdule YOU

Automated Email - Do Not Reply",spam
"Yeah there's barely enough room for the two of us, x has too many fucking shoes. Sorry man, see you later","Yeah there's barely enough room for the two of us, x has too many fucking shoes. Sorry man, see you later","Yeah there's barely enough room for the two of us, x has too many fucking shoes. Sorry man, see you later","Yeah there's barely enough room for the two of us, x has too many fucking shoes. Sorry man, see you later",ham
Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...,Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...,Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...,Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...,ham
Am slow in using biola's fne,Am slow in using biola's fne,Am slow in using biola's fne,Am slow in using biola's fne,ham
Your gonna be the death if me. I'm gonna leave a note that says its all robs fault. Avenge me.,Your gonna be the death if me. I'm gonna leave a note that says its all robs fault. Avenge me.,Your gonna be the death if me. I'm gonna leave a note that says its all robs fault. Avenge me.,Your gonna be the death if me. I'm gonna leave a note that says its all robs fault. Avenge me.,ham
"Good morning, my boytoy! How's those yummy lips ? Where's my sexy buns now ? What do you do ? Do you think of me ? Do you crave me ? Do you need me ?","Good morning, my boytoy! How's those yummy lips ? Where's my sexy buns now ? What do you do ? Do you think of me ? Do you crave me ? Do you need me ?","Good morning, my boytoy! How's those yummy lips ? Where's my sexy buns now ? What do you do ? Do you think of me ? Do you crave me ? Do you need me ?","Good morning, my boytoy! How's those yummy lips ? Where's my sexy buns now ? What do you do ? Do you think of me ? Do you crave me ? Do you need me ?",ham
