email,target,email_homoglyph
What to think no one saying clearly. Ok leave no need to ask her. I will go if she come or not,ham,What to think no one saying clearly. Ok leave no need to ask her. I will go if she come or not
"FREE RING TONE just text \POLYS\"" to 87131. Then every week get a new tone. 0870737910216yrs only 1.50/wk.""",spam,"FREE R𝙸𝕹𝙶 T𝒪N𝙀 jʋs𝘵 tℯxt \𝙿𝙾LYS⧵"" 𝔱o 8𝟕131. Then ℯ⋁ery w𝒆𝗲k 𝗀𝒆t a ne𝖜 𝐭o𝓃e․ 0870737910216yrs only 1.50∕wk."""
"Trust me. Even if isn't there, its there.",ham,"Trust me. Even if isn't there, its there."
Hi dear we saw dear. We both are happy. Where you my battery is low,ham,Hi dear we saw dear. We both are happy. Where you my battery is low
"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU",spam,"URG𝐄NT, I𝑀PORTA𝕹T INFORMATION FOR O2 USER․ TODA𝗬 I𝔖 Y𝟘U𝐑 𝘓UCKY DA𝛶! 2 FIND OUT WHY ⅬOG 𝓞NTO HTTP᛬᜵/𝒲W𝑊.𝑈RAW⏽NNER.CO𝑴 𝜯HERE IS A FAN𝒯AST𝖨𝒞 S⋃RPRlS𝐄 𝔄WAI𝒯𝓁𝚴G FOR YOU"
"Yeah there's barely enough room for the two of us, x has too many fucking shoes. Sorry man, see you later",ham,"Yeah there's barely enough room for the two of us, x has too many fucking shoes. Sorry man, see you later"
Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...,ham,Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...
Am slow in using biola's fne,ham,Am slow in using biola's fne
Your gonna be the death if me. I'm gonna leave a note that says its all robs fault. Avenge me.,ham,Your gonna be the death if me. I'm gonna leave a note that says its all robs fault. Avenge me.
"Good morning, my boytoy! How's those yummy lips ? Where's my sexy buns now ? What do you do ? Do you think of me ? Do you crave me ? Do you need me ?",ham,"Good morning, my boytoy! How's those yummy lips ? Where's my sexy buns now ? What do you do ? Do you think of me ? Do you crave me ? Do you need me ?"
"Lol, oh you got a friend for the dog ?",ham,"Lol, oh you got a friend for the dog ?"
"\SYMPTOMS\"" when U are in love: \""1.U like listening songs 2.U get stopped where u see the name of your beloved 3.U won't get angry when your""",ham,"\SYMPTOMS\"" when U are in love: \""1.U like listening songs 2.U get stopped where u see the name of your beloved 3.U won't get angry when your"""
By monday next week. Give me the full gist,ham,By monday next week. Give me the full gist
Convey my regards to him,ham,Convey my regards to him
"Yeah, that's fine! It's 6 to get in, is that ok?",ham,"Yeah, that's fine! It's 6 to get in, is that ok?"
U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?,ham,U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?
